Table 1 - 2017,,,,,,,,,,,,,,,,,
Federal Housing Finance Agency,,,,,,,,,,,,,,,,,
www.fhfa.gov,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"NATIONAL STATISTICS FOR NEW FIXED-RATE, FULLY-AMORTIZING RESIDENTIAL MORTGAGES ON OWNER-OCCUPIED, SITE-BUILT PROPERTIES IN THE UNITED STATES",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mortgage,Average,Average,Average,Average,Average,Average,Average,Percent of Loans,,,,,Share of ,Enterprise,,,
Type,Purchase,Property,Loan,Term to,Contract,Loan-to-,Combined,by Loan-to-Value Ratio Class,,,,,Mortgages with,Share of,Refinance,,
and,Price,Value,Amount,Maturity,Interest,Value,Loan-to-,Loan-to-Value Percentage,,,,Average,Credit Score,Conforming-,Share of,,
Origination,in Thousand,in Thousand,in Thousand,in,Rate,Ratio,Value Ratio in,70.0 or,70.1 to,80.1 to,Over,Credit,Below 600,Sized Mortgages,Mortgages,,
Period,Dollars,Dollars,Dollars,Years,in Percent,in Percent,Percent,Less,80,90,90,Score,in Percent,in Percent,in Percent,,
PURCHASE-MONEY MORTGAGES,,,,,,,,,,,,,,,,,
All Mortgages,,,,,,,,,,,,,,,,,
JAN-2017,301.6,301.6,242.2,28.2,4.2,85.0,85.3,14.3,21.1,12.2,52.4,730.9,3.2,NA,NA,,
FEB-2017,287.3,287.3,237.2,28.3,4.3,85.5,85.8,13.6,20.5,12.3,53.6,731.2,3.0,NA,NA,,
MAR-2017,293.2,293.2,242.0,28.4,4.3,85.8,86.2,12.9,20.8,12.0,54.3,729.6,3.6,NA,NA,,
APR-2017,293.1,293.1,241.2,28.2,4.3,85.4,85.7,13.4,21.0,12.3,53.3,731.4,3.0,NA,NA,,
MAY-2017,297.6,297.6,245.3,28.3,4.2,85.4,85.8,13.4,21.1,11.9,53.6,733.2,3.0,NA,NA,,
JUN-2017,309.7,309.7,252.7,28.4,4.2,85.2,85.6,14.0,21.3,12.5,52.3,734.6,2.9,NA,NA,,
JUL-2017,307.1,307.1,250.9,28.4,4.2,85.2,85.5,14.2,21.1,12.1,52.6,733.1,3.1,NA,NA,,
AUG-2017,304.0,304.0,247.9,28.3,4.2,84.9,85.2,14.5,21.4,12.7,51.4,734.3,3.1,NA,NA,,
SEP-2017,296.8,296.8,243.1,28.3,4.1,85.0,85.3,14.6,20.9,12.2,52.3,731.8,3.6,NA,NA,,
OCT-2017,303.8,303.8,248.1,28.4,4.1,85.2,85.6,14.3,21.3,11.6,52.9,733.2,2.9,NA,NA,,
NOV-2017,307.5,307.5,250.7,28.4,4.2,84.8,85.1,14.4,21.2,13.1,51.3,733.4,2.8,NA,NA,,
DEC-2017,315.7,315.7,257.6,28.5,4.2,85.3,85.6,13.9,21.3,12.4,52.5,731.4,3.7,NA,NA,,
,,,,,,,,,,,,,,,,,
All Conventional Mortgages,,,,,,,,,,,,,,,,,
JAN-2017,352.6,352.6,262.2,27.1,4.3,78.1,78.6,22.3,33.3,15.5,29.0,752.1,1.7,NA,NA,,
FEB-2017,332.1,332.1,256.2,27.2,4.4,78.9,79.2,21.3,32.6,16.2,30.0,752.2,1.9,NA,NA,,
MAR-2017,341.6,341.6,263.4,27.4,4.4,79.3,79.8,20.3,33.0,16.0,30.6,753.0,1.7,NA,NA,,
APR-2017,338.6,338.6,260.8,27.2,4.4,78.9,79.3,20.8,32.8,16.2,30.2,752.7,1.5,NA,NA,,
MAY-2017,342.3,342.3,264.9,27.4,4.3,79.3,79.7,20.4,32.5,15.7,31.5,755.1,1.6,NA,NA,,
JUN-2017,355.4,355.4,272.6,27.5,4.2,79.3,79.8,20.8,32.0,16.3,30.9,756.1,1.4,NA,NA,,
JUL-2017,353.5,353.5,271.2,27.6,4.2,79.1,79.6,21.4,31.9,15.6,31.1,753.8,1.6,NA,NA,,
AUG-2017,346.7,346.7,265.9,27.4,4.2,79.0,79.5,21.4,31.8,16.2,30.5,754.8,1.6,NA,NA,,
SEP-2017,336.6,336.6,258.2,27.4,4.1,78.8,79.2,21.8,31.6,15.8,30.8,752.5,1.6,NA,NA,,
OCT-2017,347.3,347.3,266.6,27.7,4.1,79.2,79.7,21.2,31.8,14.8,32.2,753.3,1.3,NA,NA,,
NOV-2017,350.4,350.4,269.0,27.6,4.2,79.1,79.4,21.1,31.2,16.9,30.8,753.8,1.4,NA,NA,,
DEC-2017,361.7,361.7,277.3,27.7,4.2,79.4,79.9,20.7,31.8,15.9,31.6,752.1,1.5,NA,NA,,
,,,,,,,,,,,,,,,,,
"All Conventional, Conforming-Sized Mortgages",,,,,,,,,,,,,,,,,
JAN-2017,290.7,290.7,222.1,27.0,4.3,78.2,78.7,22.3,32.3,15.5,29.9,750.8,1.8,76.3,NA,,
FEB-2017,284.2,284.2,221.5,27.1,4.4,78.9,79.3,21.2,31.6,16.4,30.8,751.0,1.9,77.7,NA,,
MAR-2017,294.8,294.8,228.9,27.4,4.4,79.4,79.9,20.2,31.9,16.2,31.6,751.6,1.8,78.6,NA,,
APR-2017,291.0,291.0,225.1,27.1,4.4,78.9,79.4,20.8,31.8,16.3,31.1,751.4,1.6,77.5,NA,,
MAY-2017,290.1,290.1,225.7,27.3,4.3,79.4,79.8,20.2,31.6,15.5,32.7,753.6,1.7,79.1,NA,,
JUN-2017,297.8,297.8,231.0,27.4,4.2,79.4,80.0,20.7,30.8,16.2,32.3,754.4,1.4,79.5,NA,,
JUL-2017,296.6,296.6,229.4,27.5,4.2,79.3,79.7,21.4,30.6,15.6,32.5,752.2,1.7,78.9,NA,,
AUG-2017,294.7,294.7,227.6,27.3,4.2,79.0,79.5,21.5,30.9,15.9,31.8,753.2,1.7,78.4,NA,,
SEP-2017,290.1,290.1,224.2,27.3,4.1,78.9,79.3,21.6,30.5,15.8,32.0,751.1,1.7,78.5,NA,,
OCT-2017,294.3,294.3,227.8,27.6,4.1,79.4,79.8,20.9,30.7,14.9,33.5,751.7,1.4,79.1,NA,,
NOV-2017,295.8,295.8,229.2,27.5,4.2,79.2,79.5,21.0,30.3,16.8,31.9,752.5,1.4,78.5,NA,,
DEC-2017,301.6,301.6,233.4,27.7,4.2,79.6,80.1,20.4,30.6,15.8,33.1,750.2,1.6,79.7,NA,,
,,,,,,,,,,,,,,,,,
"All Conventional, Conforming-Sized Mortgages with Term of 30 Years",,,,,,,,,,,,,,,,,
JAN-2017,304.5,304.5,240.6,30.0,4.4,81.9,82.4,15.1,33.4,16.6,34.9,752.8,1.1,84.1,NA,,
FEB-2017,298.5,298.5,239.9,30.0,4.4,82.7,83.1,14.1,32.4,17.3,36.2,752.7,1.1,85.3,NA,,
MAR-2017,306.4,306.4,244.6,30.0,4.4,82.6,83.1,14.3,32.5,17.0,36.1,752.5,1.0,85.2,NA,,
APR-2017,305.6,305.6,243.7,30.0,4.5,82.7,83.1,13.7,32.7,17.5,36.2,752.8,0.8,85.8,NA,,
MAY-2017,304.3,304.3,243.7,30.0,4.4,82.9,83.4,13.6,32.1,16.4,37.9,755.3,0.9,87.0,NA,,
JUN-2017,310.6,310.6,247.8,30.0,4.3,82.8,83.2,14.0,31.5,17.4,37.0,754.9,0.9,86.3,NA,,
JUL-2017,309.8,309.8,246.2,30.0,4.3,82.6,83.0,14.7,31.5,16.5,37.2,753.4,1.0,86.0,NA,,
AUG-2017,307.7,307.7,244.7,30.0,4.3,82.6,83.0,14.7,31.8,17.1,36.4,754.7,0.9,85.7,NA,,
SEP-2017,304.7,304.7,242.2,30.0,4.2,82.5,82.9,14.7,31.4,17.0,36.8,752.3,1.1,86.4,NA,,
OCT-2017,305.2,305.2,242.7,30.0,4.2,82.5,83.0,14.9,31.1,15.9,38.2,752.0,0.9,85.5,NA,,
NOV-2017,310.1,310.1,246.4,30.0,4.2,82.5,82.8,14.7,30.9,18.0,36.5,754.0,0.8,85.6,NA,,
DEC-2017,313.7,313.7,248.5,30.0,4.3,82.5,83.0,15.0,30.9,16.8,37.2,750.6,1.1,85.9,NA,,
,,,,,,,,,,,,,,,,,
Enterprise Mortgages,,,,,,,,,,,,,,,,,
JAN-2017,305.4,305.4,236.6,28.5,4.3,80.7,81.2,17.1,34.7,15.8,32.4,756.1,0.7,NA,NA,,
FEB-2017,299.2,299.2,236.4,28.5,4.3,81.6,81.9,15.7,34.1,16.7,33.5,756.1,0.7,NA,NA,,
MAR-2017,307.8,307.8,242.0,28.6,4.3,81.5,82.0,15.7,34.3,16.4,33.6,756.2,0.7,NA,NA,,
APR-2017,306.5,306.5,240.8,28.6,4.3,81.6,82.0,15.4,34.6,16.4,33.7,756.8,0.4,NA,NA,,
MAY-2017,304.3,304.3,240.2,28.6,4.2,81.9,82.2,14.9,34.2,15.6,35.4,758.2,0.7,NA,NA,,
JUN-2017,309.8,309.8,243.8,28.6,4.2,81.6,82.1,15.8,33.2,16.2,34.8,758.3,0.6,NA,NA,,
JUL-2017,307.5,307.5,241.2,28.7,4.1,81.6,81.9,16.4,32.6,16.2,34.8,756.9,0.7,NA,NA,,
AUG-2017,307.4,307.4,240.7,28.6,4.1,81.5,81.9,16.5,33.1,16.3,34.2,758.2,0.5,NA,NA,,
